Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Dosage_Form,Route_Of_Administration,Approved_Prior_To_1982,Approval_Date_ISO,AB_Family,RLD_Trade_Name,RLD_Appl_No,RLD_Product_No,RLD_TE_Code,Patent_Count,Patent_Numbers,Patent_Expiry,Patent_Use_Codes,Exclusivity_Count,Exclusivity_Codes,Exclusivity_Dates
BUDESONIDE,"AEROSOL, FOAM;RECTAL",BUDESONIDE,PADAGIS ISRAEL,2MG/ACTUATION,A,215328,001,AB,"Apr 12, 2023",False,True,RX,PADAGIS ISRAEL PHARMACEUTICALS LTD,"AEROSOL, FOAM",RECTAL,False,2023-04-12,True,UCERIS,205613,001,AB,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,001,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,001,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,001,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,001,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,001,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,001,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,001,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,001,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,001,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
