Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Dosage_Form,Route_Of_Administration,Approved_Prior_To_1982,Approval_Date_ISO,AB_Family,RLD_Trade_Name,RLD_Appl_No,RLD_Product_No,RLD_TE_Code,Patent_Count,Patent_Numbers,Patent_Expiry,Patent_Use_Codes,Exclusivity_Count,Exclusivity_Codes,Exclusivity_Dates,Predicted_TE_Code,TE_Score,Patent_Score,Exclusivity_Score,RS_Score,Final_Score,Rank
BUDESONIDE,"AEROSOL, FOAM;RECTAL",BUDESONIDE,PADAGIS ISRAEL,2MG/ACTUATION,A,215328,1,AB,"Apr 12, 2023",False,True,RX,PADAGIS ISRAEL PHARMACEUTICALS LTD,"AEROSOL, FOAM",RECTAL,False,2023-04-12,True,UCERIS,205613,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,1
DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE,CAPSULE;ORAL,DUTASTERIDE AND TAMSULOSIN HYDROCHLORIDE,ZYDUS PHARMS,0.5MG;0.4MG,A,207769,1,AB,"May 24, 2018",False,True,RX,ZYDUS PHARMACEUTICALS USA INC,CAPSULE,ORAL,False,2018-05-24,True,JALYN,22460,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,2
HYDROCHLOROTHIAZIDE; LISINOPRIL,TABLET;ORAL,LISINOPRIL AND HYDROCHLOROTHIAZIDE,INVAGEN PHARMS,25MG;20MG,A,204058,3,AB,"May 23, 2017",False,True,RX,INVAGEN PHARMACEUTICALS INC,TABLET,ORAL,False,2017-05-23,True,ZESTORETIC,19888,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,3
DOXYCYCLINE HYCLATE,"TABLET, DELAYED RELEASE;ORAL",DOXYCYCLINE HYCLATE,HERITAGE,EQ 200MG BASE,A,200856,4,AB,"Nov 13, 2018",False,True,RX,HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC,"TABLET, DELAYED RELEASE",ORAL,False,2018-11-13,True,DORYX,50795,5,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,4
PHENOXYBENZAMINE HYDROCHLORIDE,CAPSULE;ORAL,PHENOXYBENZAMINE HYDROCHLORIDE,PH HEALTH,10MG,A,204522,1,AB,"Jan 24, 2017",False,True,RX,PH HEALTH LTD,CAPSULE,ORAL,False,2017-01-24,True,DIBENZYLINE,8708,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,5
LINEZOLID,TABLET;ORAL,LINEZOLID,ALKEM LABS LTD,600MG,A,205517,1,AB,"Dec 21, 2015",False,True,RX,ALKEM LABORATORIES LTD,TABLET,ORAL,False,2015-12-21,True,ZYVOX,21130,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,6
LEVOCETIRIZINE DIHYDROCHLORIDE,TABLET;ORAL,LEVOCETIRIZINE DIHYDROCHLORIDE,GLENMARK PHARMS LTD,5MG,A,90385,1,AB,"Feb 24, 2011",False,True,RX,GLENMARK PHARMACEUTICALS LTD,TABLET,ORAL,False,2011-02-24,True,XYZAL ALLERGY 24HR,209089,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,7
DOXERCALCIFEROL,CAPSULE;ORAL,DOXERCALCIFEROL,AVET,2.5MCG,A,205360,3,AB,"Sep 15, 2020",False,True,RX,AVET PHARMACEUTICALS INC,CAPSULE,ORAL,False,2020-09-15,True,HECTOROL,20862,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,8
BROMOCRIPTINE MESYLATE,TABLET;ORAL,BROMOCRIPTINE MESYLATE,PADAGIS US,EQ 2.5MG BASE,A,77646,1,AB,"Oct 1, 2008",False,True,RX,PADAGIS US LLC,TABLET,ORAL,False,2008-10-01,True,PARLODEL,17962,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,9
SODIUM PHENYLBUTYRATE,TABLET;ORAL,SODIUM PHENYLBUTYRATE,PH HEALTH,500MG,A,204395,1,AB,"Apr 15, 2016",False,True,RX,PH HEALTH LTD,TABLET,ORAL,False,2016-04-15,True,BUPHENYL,20572,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,10
DOXYCYCLINE,CAPSULE;ORAL,DOXYCYCLINE,SUN PHARM INDS LTD,EQ 100MG BASE,A,65053,2,AB,"Nov 22, 2000",False,True,RX,SUN PHARMACEUTICAL INDUSTRIES LTD,CAPSULE,ORAL,False,2000-11-22,True,MONODOX,50641,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,11
DOXYCYCLINE,CAPSULE;ORAL,DOXYCYCLINE,STRIDES PHARMA INTL,EQ 150MG BASE,A,65055,3,AB,"Jul 15, 2005",False,True,RX,STRIDES PHARMA INTERNATIONAL AG,CAPSULE,ORAL,False,2005-07-15,True,MONODOX,50641,4,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,12
MINOCYCLINE HYDROCHLORIDE,CAPSULE;ORAL,MINOCYCLINE HYDROCHLORIDE,ZYDUS,EQ 100MG BASE,A,63009,1,AB,"Mar 2, 1992",False,True,RX,ZYDUS WORLDWIDE DMCC,CAPSULE,ORAL,False,1992-03-02,True,MINOCIN,50649,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,13
CALCITRIOL,CAPSULE;ORAL,CALCITRIOL,ONESOURCE SPECIALTY,0.5MCG,A,91356,2,AB,"Dec 12, 2014",False,True,RX,ONESOURCE SPECIALTY PTE LTD,CAPSULE,ORAL,False,2014-12-12,True,ROCALTROL,18044,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,14
ETODOLAC,CAPSULE;ORAL,ETODOLAC,TARO,300MG,A,75078,2,AB,"Apr 30, 1998",False,True,RX,TARO PHARMACEUTICAL INDUSTRIES LTD,CAPSULE,ORAL,False,1998-04-30,True,LODINE,18922,3,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,15
ETOPOSIDE,CAPSULE;ORAL,ETOPOSIDE,MYLAN,50MG,A,75635,1,AB,"Sep 19, 2001",False,True,RX,MYLAN PHARMACEUTICALS INC,CAPSULE,ORAL,False,2001-09-19,True,VEPESID,19557,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,16
CARBIDOPA; LEVODOPA,TABLET;ORAL,CARBIDOPA AND LEVODOPA,ACTAVIS ELIZABETH,25MG;250MG,A,74260,3,AB,"Sep 3, 1993",False,True,RX,ACTAVIS ELIZABETH LLC,TABLET,ORAL,False,1993-09-03,True,SINEMET,17555,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,17
LAMOTRIGINE,TABLET;ORAL,LAMOTRIGINE,ALEMBIC PHARMS LTD,25MG,A,90607,1,AB,"Jan 13, 2011",False,True,RX,ALEMBIC PHARMACEUTICALS LTD,TABLET,ORAL,False,2011-01-13,True,LAMICTAL,20241,5,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,18
TAMSULOSIN HYDROCHLORIDE,CAPSULE;ORAL,TAMSULOSIN HYDROCHLORIDE,ZYDUS PHARMS USA INC,0.4MG,A,78225,1,AB,"Apr 27, 2010",False,True,RX,ZYDUS PHARMACEUTICALS USA INC,CAPSULE,ORAL,False,2010-04-27,True,FLOMAX,20579,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,19
NAPROXEN,SUSPENSION;ORAL,NAPROXEN,HIKMA,25MG/ML,A,74190,1,AB,"Mar 30, 1994",False,True,RX,HIKMA PHARMACEUTICALS USA INC,SUSPENSION,ORAL,False,1994-03-30,True,NAPROSYN,18965,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,20
FELBAMATE,SUSPENSION;ORAL,FELBAMATE,NOVITIUM PHARMA,600MG/5ML,A,211333,1,AB,"May 31, 2019",False,True,RX,NOVITIUM PHARMA LLC,SUSPENSION,ORAL,False,2019-05-31,True,FELBATOL,20189,3,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,21
IBUPROFEN,SUSPENSION;ORAL,IBUPROFEN,ACTAVIS MID ATLANTIC,100MG/5ML,A,74978,1,AB,"Mar 25, 1998",False,True,RX,ACTAVIS MID ATLANTIC LLC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,SUSPENSION,ORAL,False,1998-03-25,True,CHILDREN'S MOTRIN,20516,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,22
