Trade_Name,Alternative_Trade_Name,TE_Code,Alternative_TE_Code,Original_Cost,Estimated_Alternative_Cost,Cost_Reduction_Pct,Original_Benes,Simulated_Access_Coverage_Pct,PMPM_Saving,Cost_Requirement,Access_Requirement,Final_Decision
AZATHIOPRINE,AZASAN,AB,AB,12531423.0,10651709.549999999,15.000000000000007,73366.0,100.0,2.1350869271869817,True,True,RECOMMEND SWITCH
"GRISEOFULVIN, ULTRAMICROSIZE",FULVICIN P/G,AB,AB,234555.28,199371.98799999998,15.000000000000007,6812.0,100.0,0.43040825014679995,True,True,RECOMMEND SWITCH
NORETHINDRONE,INCASSIA,AB1,AB1,258868.14,220037.919,15.000000000000007,12018.0,100.0,0.26925043684473304,True,True,RECOMMEND SWITCH
NORETHINDRONE,INCASSIA,AB2,AB1,258868.14,220037.919,15.000000000000007,12018.0,100.0,0.26925043684473304,True,True,RECOMMEND SWITCH
TIOPRONIN,VENXXIVA,AB,AB,27121856.0,23053577.599999998,15.000000000000007,5790.0,100.0,58.55322970639036,True,True,RECOMMEND SWITCH
SAPROPTERIN DIHYDROCHLORIDE,ZELVYSIA,AB,AB,13718627.0,11660832.95,15.000000000000005,1357.0,100.0,126.36907700810616,True,True,RECOMMEND SWITCH
WARFARIN SODIUM,JANTOVEN,AB,AB,40246604.0,34209613.4,15.000000000000005,857407.0,100.0,0.5867488252370229,True,True,RECOMMEND SWITCH
DICHLORPHENAMIDE,ORMALVI,AB,AB,9536841.0,8106314.85,15.000000000000005,3524.0,100.0,33.828181753688995,True,True,RECOMMEND SWITCH
MIGLUSTAT,YARGESA,AB,AB,6924978.5,5886231.725,15.000000000000005,1028.0,100.0,84.20450510700391,True,True,RECOMMEND SWITCH
DOFETILIDE,DOFETILDE,AB,AB,40058664.0,34049864.4,15.000000000000005,74984.0,100.0,6.677868611970555,True,True,RECOMMEND SWITCH
BETAMETHASONE VALERATE,BETA-VAL,AB,AB,4067856.8,3457678.28,15.000000000000002,66951.0,100.0,0.7594839509492016,True,True,RECOMMEND SWITCH
ASHLYNA,JAIMIESS,AB,AB,1275.88,1084.498,15.000000000000002,7392.0,100.0,0.0021575351731601736,True,True,RECOMMEND SWITCH
LEVOTHYROXINE SODIUM,LEVOLET,AB4,"AB1,AB2,AB3,AB4",831917300.0,707129705.0,15.0,12631582.0,100.0,0.8232512958392701,True,True,RECOMMEND SWITCH
TESTOSTERONE,VOGELXO,AB2,AB2,67798270.0,57628529.5,15.0,96973.0,100.0,8.739323058995803,True,True,RECOMMEND SWITCH
GABAPENTIN,RELGAABI,AB,AB,395467800.0,336147630.0,15.0,9853342.0,100.0,0.5016924714477585,True,True,RECOMMEND SWITCH
LEVOTHYROXINE SODIUM,LEVOLET,"AB1,AB2,AB3","AB1,AB2,AB3,AB4",831917300.0,707129705.0,15.0,12631582.0,100.0,0.8232512958392701,True,True,RECOMMEND SWITCH
ALLOPURINOL,LOPURIN,AB,AB,81713130.0,69456160.5,15.0,2459575.0,100.0,0.41528073955866357,True,True,RECOMMEND SWITCH
LEVOTHYROXINE SODIUM,LEVOLET,AB2,"AB1,AB2,AB3,AB4",831917300.0,707129705.0,15.0,12631582.0,100.0,0.8232512958392701,True,True,RECOMMEND SWITCH
CYCLOSPORINE,GENGRAF,AB1,AB1,1258766100.0,1069951185.0,15.0,637794.0,100.0,24.670310868399515,True,True,RECOMMEND SWITCH
POTASSIUM CHLORIDE,KLOR-CON M10,AB2,AB1,276764830.0,235250105.5,15.0,3896076.0,100.0,0.887960187378275,True,True,RECOMMEND SWITCH
POTASSIUM CHLORIDE,KLOR-CON M10,AB1,AB1,276764830.0,235250105.5,15.0,3896076.0,100.0,0.887960187378275,True,True,RECOMMEND SWITCH
POTASSIUM CHLORIDE,KLOR-CON M10,AB3,AB1,276764830.0,235250105.5,15.0,3896076.0,100.0,0.887960187378275,True,True,RECOMMEND SWITCH
CYCLOSPORINE,GENGRAF,AB2,AB1,1258766100.0,1069951185.0,15.0,637794.0,100.0,24.670310868399515,True,True,RECOMMEND SWITCH
ISOTRETINOIN,CLARAVIS,AB1,AB1,168318.28,143070.538,15.0,6872.0,100.0,0.30616683643771825,True,True,RECOMMEND SWITCH
CARBAMAZEPINE,TERIL,AB,AB,76808950.0,65287607.5,15.0,193523.0,100.0,4.961228768673491,True,True,RECOMMEND SWITCH
WIXELA INHUB,FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE,AB,AB,628607700.0,534316545.0,15.0,864817.0,100.0,9.08584850899092,True,True,RECOMMEND SWITCH
