Trade_Name,Alternative_Trade_Name,TE_Code,Alternative_TE_Code
DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION),DESMOPRESSIN ACETATE,AB,AB
ALLOPURINOL,LOPURIN,AB,AB
WARFARIN SODIUM,JANTOVEN,AB,AB
DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL),DOXORUBICIN HYDROCHLORIDE,AB,AB
DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION),AB,AB
METHENAMINE HIPPURATE,UREX,AB,AB
"GRISEOFULVIN, ULTRAMICROSIZE",FULVICIN P/G,AB,AB
DILTIAZEM HYDROCHLORIDE,CARTIA XT,AB1,AB3
LEVOTHYROXINE SODIUM,LEVOLET,"AB1,AB2,AB3,AB4","AB1,AB2,AB3,AB4"
CLARAVIS,ZENATANE,AB1,AB1
TESTOSTERONE,VOGELXO,AB1,AB2
DILTIAZEM HYDROCHLORIDE,CARTIA XT,AB2,AB3
NORETHINDRONE,INCASSIA,AB2,AB1
DICHLORPHENAMIDE,ORMALVI,AB,AB
ORMALVI,DICHLORPHENAMIDE,AB,AB
DEFLAZACORT,JAYTHARI,AB,AB
JAYTHARI,DEFLAZACORT,AB,AB
JANTOVEN,WARFARIN SODIUM,AB,AB
ASHLYNA,JAIMIESS,AB,AB
JAIMIESS,ASHLYNA,AB,AB
LEVONORGESTREL AND ETHINYL ESTRADIOL,ASHLYNA,AB,AB
LEVONORGESTREL AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL,ASHLYNA,AB,AB
SIMPESSE,ASHLYNA,AB,AB
DAYSEE,ASHLYNA,AB,AB
LOPURIN,ALLOPURINOL,AB,AB
SORINE,SOTALOL HYDROCHLORIDE,AB,AB
SOTALOL HYDROCHLORIDE,SORINE,AB,AB
"DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM",TYDEMY,AB,AB
AZASAN,AZATHIOPRINE,AB,AB
AZATHIOPRINE,AZASAN,AB,AB
PAROXETINE HYDROCHLORIDE,PAROXETINE,AB,AB
PAROXETINE,PAROXETINE HYDROCHLORIDE,AB,AB
DROSPIRENONE AND ETHINYL ESTRADIOL,SYEDA,AB,AB
LARIN 1.5/30,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,AB,AB
