Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Atorvastatin Calcium,Atorvastatin Calcium,72478232,751750949.9499999,22184851.0,178559448.90000007,5291818545,2024
Amlodipine Besylate,Amlodipine Besylate,49246040,312717900.54999995,15037429.0,118940878.89999999,3524913355,2024
Levothyroxine Sodium,Levothyroxine Sodium,47159857,783436840.8300002,12391838.0,110075521.40000005,3241750057,2024
Gabapentin,Gabapentin,35529509,537771943.6400001,9918654.0,56045671.099999994,1625808618,2024
Losartan Potassium,Losartan Potassium,35424663,349060865.3099999,10898648.0,88490377.69999999,2632482508,2024
Lisinopril,Lisinopril,35419545,249000321.65999997,10689219.0,87840166.39999999,2607803802,2024
Metformin Hcl,Metformin Hcl,33008405,336260610.2300001,9893920.0,79935869.7,2372637326,2024
Metoprolol Succinate,Metoprolol Succinate,31359956,447143233.11,9672646.0,75220483.69999999,2230386989,2024
Rosuvastatin Calcium,Rosuvastatin Calcium,30117327,431132099.2400002,9586358.0,78223443.90000002,2334030633,2024
Omeprazole,Omeprazole,27948661,355899522.19999987,8566026.0,62492871.79999998,1848879132,2024
Pantoprazole Sodium,Pantoprazole Sodium,24450040,310250746.65000004,7704185.0,50741937.20000001,1488963881,2024
Apixaban,Eliquis,22996543,19876304796.020004,5459419.0,37151879.0,1037183089,2024
Furosemide,Furosemide,22501895,121338077.99000001,7059929.0,42941393.99999999,1225923647,2024
Tamsulosin Hcl,Tamsulosin Hcl,20562302,297817390.5,6233330.0,46285316.60000001,1363209834,2024
Albuterol Sulfate,Albuterol Sulfate Hfa,19330031,636826136.89,7644521.0,23136771.7,571977834,2024
Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,19057273,377112532.63,6499789.0,19094178.400000002,399862228,2024
Hydrochlorothiazide,Hydrochlorothiazide,17758779,78309967.53,5509489.0,44939553.099999994,1339935245,2024
Trazodone Hcl,Trazodone Hcl,17632656,159468513.9,4556125.0,30650646.499999996,888723755,2024
Sertraline Hcl,Sertraline Hcl,15394360,143254258.56000003,3664786.0,28638815.40000001,828722678,2024
Metoprolol Tartrate,Metoprolol Tartrate,15048761,102157935.45000002,4397420.0,33112018.500000004,967783086,2024
Carvedilol,Carvedilol,14918248,128802867.17,4377365.0,33643987.0,992137250,2024
Simvastatin,Simvastatin,14482601,121796709.25,4076085.0,37081101.70000001,1103676535,2024
Prednisone,Prednisone,14221042,64908231.69999999,8796283.0,17167534.5,299405893,2024
Potassium Chloride,Klor-Con M20,14127105,285741265.37,3978228.0,26473007.0,753834148,2024
Famotidine,Famotidine,13009220,167582071.94000006,3972375.0,25312400.999999996,737405224,2024
Clopidogrel Bisulfate,Clopidogrel,12681186,145447151.01999995,3818002.0,28373642.799999997,835875305,2024
Duloxetine Hcl,Duloxetine Hcl,12298888,292821461.44,2981548.0,22935772.3,671985956,2024
Fluticasone Propionate,Fluticasone Propionate,12140541,215709259.51999995,5176325.0,20320463.999999996,607380866,2024
Tramadol Hcl,Tramadol Hcl,12003386,94401698.84999998,4251826.0,12188846.200000001,244516224,2024
Escitalopram Oxalate,Escitalopram Oxalate,11938670,135688950.33999997,2967627.0,23099685.1,674345222,2024
Montelukast Sodium,Montelukast Sodium,11835046,129991679.22999997,3413192.0,26219027.999999996,777851958,2024
Meloxicam,Meloxicam,11308331,48283441.75000002,4270243.0,18425493.500000004,538752520,2024
Alprazolam,Alprazolam,10996238,64885979.93,2516574.0,11913716.5,326754290,2024
Semaglutide,Rybelsus,10906364,13792509455.769999,2402242.0,15191108.699999996,441494924,2024
Empagliflozin,Jardiance,10654599,10678957371.719997,2731340.0,19763777.3,577841170,2024
Latanoprost,Latanoprost,10475362,125743781.02999996,2894002.0,19802861.600000005,570558426,2024
Allopurinol,Allopurinol,9025695,89801271.57,2457627.0,21587408.499999996,638697934,2024
Quetiapine Fumarate,Quetiapine Fumarate,8928376,174756903.97000003,1688608.0,12020696.099999994,336157084,2024
Pravastatin Sodium,Pravastatin Sodium,8787298,118771034.86999999,2455860.0,22279766.499999996,660966255,2024
Oxycodone Hcl,Oxycodone Hcl,8541099,405197676.11999995,3241914.0,8551004.699999997,162999896,2024
Clonazepam,Clonazepam,8263838,67724022.52,1547346.0,9044125.400000004,256741344,2024
Alendronate Sodium,Alendronate Sodium,8243198,71644651.06,2419962.0,18597106.399999995,551431343,2024
Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,8141132,276767252.39000005,2430931.0,8149559.400000001,184060398,2024
