Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
0.9 % Sodium Chloride,Sodium Chloride,164826,3682292.080000001,55961.0,165620.2,993618,2019
0.9 % Sodium Chloride,Sodium Chloride,194143,4089833.7199999993,68298.0,195609.00000000003,1246659,2020
0.9 % Sodium Chloride,Sodium Chloride,168682,3733735.819999999,56009.0,170092.90000000002,1196836,2021
0.9 % Sodium Chloride,Sodium Chloride,179716,4294902.8100000005,60584.0,181422.70000000007,1300510,2022
0.9 % Sodium Chloride,Sodium Chloride,216889,5379948.229999998,76392.0,220012.8,1653736,2023
0.9 % Sodium Chloride,Sodium Chloride,252375,6018859.75,89997.0,255271.59999999995,1902632,2024
Aa 3.31 %/D9.8w/Fat/E-Lytes 10,Kabiven,24,7461.46,5.0,24.0,166,2019
Aa 4.25 % No.1/Dextrose 5 %,Clinimix,57,9679.28,15.0,57.0,183,2024
Aa 4.25%/Calcium/Lytes/Dex 10%,Clinimix E,11,5136.48,5.0,11.0,76,2020
Aa 4.25%/Calcium/Lytes/Dex 10%,Clinimix E,12,3636.26,5.0,12.0,42,2022
Aa 5 % No.6/D20w/Lytes No.23,Clinimix E,16,2725.75,5.0,16.0,34,2024
Aa 5 %/Calcium/Lytes/Dext 20 %,Clinimix E,117,41339.79,25.0,117.0,540,2019
Aa 5 %/Calcium/Lytes/Dext 20 %,Clinimix E,99,26744.63,25.0,99.0,428,2020
Aa 5 %/Calcium/Lytes/Dext 20 %,Clinimix E,86,23379.39,10.0,86.0,363,2021
Aa 5 %/Calcium/Lytes/Dext 20 %,Clinimix E,50,15566.34,15.0,50.0,193,2022
Aa 5 %/Calcium/Lytes/Dext 20 %,Clinimix E,14,1398.46,5.0,14.0,28,2023
Aa 5%/D15w/Electrolytes,Clinimix E,119,51750.09,30.0,119.0,672,2019
Aa 5%/D15w/Electrolytes,Clinimix E,94,26985.63,25.0,94.0,470,2020
Aa 5%/D15w/Electrolytes,Clinimix E,12,7193.44,5.0,12.0,91,2021
Aa 5%/D15w/Electrolytes,Clinimix E,22,9065.57,5.0,22.0,135,2023
