iter	TotalF1	MultiClass
0	0.8404554399	2.323986573
1	0.8396212993	2.026897079
2	0.8312657231	1.826407619
3	0.840408862	1.673706237
4	0.8462376707	1.552575778
5	0.8379915946	1.452945887
6	0.8382841754	1.368562479
7	0.8484881085	1.294060489
8	0.8480503192	1.230033439
9	0.8480078807	1.172783484
10	0.8482698404	1.121980797
11	0.848443388	1.075805448
12	0.8486511129	1.035772553
13	0.8488020618	0.9987738119
14	0.8491814035	0.9635354608
15	0.8492428418	0.9311512947
16	0.8493413175	0.9016467128
17	0.8494629814	0.876328647
18	0.8496237947	0.8519765839
19	0.8497870021	0.8288628336
20	0.8498902874	0.8079237496
21	0.8499576543	0.7878819534
22	0.850050886	0.7691293787
23	0.8502990124	0.7516258161
24	0.8499925729	0.7356034866
25	0.8501612865	0.7204103265
26	0.8506081603	0.6701246979
27	0.8507703544	0.630970015
28	0.8518163912	0.5966639353
29	0.8543418118	0.5673466077
30	0.8548336477	0.5395449011
31	0.857483603	0.5145893709
32	0.8584445318	0.4928072867
33	0.864178595	0.4718642043
34	0.8681305528	0.4525384716
35	0.8685354621	0.4349835132
36	0.8689270871	0.4194779449
37	0.8927839661	0.405530954
38	0.8954756436	0.3919910522
39	0.9051810701	0.3796491285
40	0.9088060958	0.3683976289
41	0.9115733	0.3567910062
42	0.9138811052	0.3468272775
43	0.9175799984	0.3366061033
44	0.919533601	0.327251664
45	0.9222955913	0.3178657203
46	0.9243685665	0.3096813309
47	0.9269723353	0.3016245161
48	0.9277341394	0.2940471728
49	0.9283710786	0.2873111901
50	0.9288051938	0.2807860452
51	0.9354783793	0.2748651543
52	0.9357079696	0.2686480581
53	0.9361759409	0.2628778985
54	0.9364868254	0.2572567661
55	0.9366031611	0.2522284265
56	0.937030988	0.2472565881
57	0.9372867574	0.2425807563
58	0.9383901123	0.2385395948
59	0.9388450256	0.2345144012
60	0.9392124533	0.2307081125
61	0.9425556978	0.2267367845
62	0.9428222227	0.2233539997
63	0.9450192687	0.2198634717
64	0.9464067763	0.2167554157
65	0.9467297689	0.213764808
66	0.9470592921	0.2108369759
67	0.9475541726	0.2083101094
68	0.9474126573	0.2057745547
69	0.9475258406	0.2033705843
70	0.9474759392	0.2009816862
71	0.9476138666	0.1986645886
72	0.9479471412	0.196104694
73	0.94794494	0.194068298
74	0.9484356058	0.1918159254
75	0.9487931994	0.1897227883
76	0.9490411396	0.1878415967
77	0.9489198259	0.1862061022
