iter	Passed	Remaining
0	1771	884136
1	3483	867472
2	5764	954986
3	8881	1101310
4	12749	1262219
5	15927	1311372
6	20332	1431964
7	24176	1486835
8	26692	1456240
9	28372	1390233
10	31782	1412863
11	34881	1418507
12	37428	1402119
13	38361	1331683
14	40810	1319538
15	43192	1306559
16	45560	1294446
17	48643	1302552
18	51815	1311737
19	54870	1316885
20	57384	1308918
21	59774	1298731
22	62314	1292350
23	65039	1289942
24	67699	1286294
25	71689	1306947
26	76447	1339245
27	79027	1332174
28	82688	1342974
29	86342	1352702
30	89501	1354075
31	92560	1353699
32	96068	1359521
33	99219	1359892
34	102966	1367977
35	107173	1381350
36	110426	1381823
37	113041	1374342
38	116775	1380343
39	119786	1377544
40	122846	1375284
41	125689	1370610
42	128753	1368384
43	131890	1366870
44	134705	1362025
45	137398	1356063
46	140288	1352140
47	143264	1349076
48	146120	1344902
49	148983	1340847
50	151737	1335882
51	154760	1333321
52	157845	1331259
53	160819	1328248
54	163717	1324623
55	166644	1321253
56	169402	1316587
57	172505	1314612
58	175294	1310250
59	178272	1307333
60	180814	1301274
61	183498	1296327
62	186019	1290328
63	188891	1286822
64	191810	1283653
65	195008	1282328
66	197948	1279279
67	200489	1273696
68	203375	1270359
69	206357	1267625
70	209198	1264029
71	212962	1265946
72	216470	1266203
73	219729	1264931
74	222886	1263025
75	225947	1260548
76	229390	1260159
77	232914	1260127
78	235994	1257642
79	238763	1253510
80	241731	1250440
81	244752	1247642
82	247858	1245266
83	251602	1246031
84	255035	1245173
85	258237	1243141
86	261719	1242416
87	264790	1239702
88	268035	1237784
89	271486	1236771
90	274519	1233829
91	277503	1230668
92	280872	1229195
93	284354	1228171
94	287414	1225293
95	290638	1223102
96	293546	1219580
97	296597	1216653
98	299826	1214449
99	303298	1213192
100	306385	1210375
101	309668	1208314
102	312808	1205680
103	315770	1202356
104	319174	1200705
105	322630	1199211
106	325802	1196640
107	329482	1195900
108	333370	1195852
109	337130	1195282
110	340977	1194956
111	344901	1194837
112	346464	1186565
113	349821	1184484
114	353485	1183407
115	356989	1181758
116	360252	1179289
117	363649	1177237
118	366585	1173690
119	367816	1164751
120	370551	1160653
121	374004	1158801
122	377077	1155756
123	380349	1153317
124	383560	1150680
125	386797	1148113
126	390636	1147303
127	393190	1142710
128	394157	1133585
129	394761	1123552
130	398259	1121814
131	402068	1120918
132	405250	1118246
133	408359	1115368
134	411901	1113658
135	414934	1110558
136	418865	1109839
137	420694	1103562
138	424192	1101679
139	427616	1099585
140	431103	1097633
141	434698	1095930
142	438234	1094054
143	440593	1089246
144	443705	1086313
145	445706	1080685
146	449255	1078824
147	452197	1075497
148	455765	1073649
149	457122	1066619
150	460385	1064069
151	463749	1061742
152	467110	1059394
153	470611	1057348
154	473770	1054521
155	477133	1052141
156	480756	1050315
157	483809	1047233
158	486773	1043960
159	490291	1041868
160	493083	1038231
161	496451	1035806
162	500057	1033861
163	503505	1031571
164	507220	1029810
165	510683	1027520
166	514082	1025085
167	515566	1018856
168	518993	1016490
169	522198	1013680
170	523417	1007043
171	526861	1004711
172	527737	997515
173	531287	995400
174	534484	992613
175	538113	990617
176	541460	988088
177	544695	985348
178	547979	982690
179	551503	980450
180	555654	979302
181	559152	976980
182	562462	974320
183	566349	972643
184	572058	974045
185	577245	974489
186	581269	972927
187	587235	974560
188	588269	967999
189	592809	967214
190	598468	968203
191	602046	965782
192	606012	963968
193	609928	962052
194	614540	961204
195	619063	960180
196	623092	958361
197	627623	957283
198	631275	954843
199	635052	952578
200	639052	950630
201	642771	948247
202	645962	945077
203	649124	941866
204	652375	938783
205	655340	935291
206	658830	932547
207	662143	929547
208	665102	926051
209	668455	923105
210	671910	920294
211	675443	917583
212	678679	914465
213	682105	911598
214	685541	908741
215	688867	905733
216	692211	902746
217	695920	900228
218	699391	897392
219	702073	893547
220	705054	890091
221	708533	887262
222	712206	884668
223	715344	881406
224	717234	876619
225	720746	873825
226	724295	871069
227	727005	867304
228	730003	863890
229	733514	861082
230	736881	858100
231	740196	855054
232	744084	852663
233	746902	849042
234	751082	846965
235	754384	843887
236	757627	840742
237	760866	837592
238	764989	835406
239	768430	832466
240	772487	830183
241	778387	829851
