Feature,Importance
categorical__Dosage_Form_INJECTABLE,0.06204388
categorical__Route_Of_Administration_ORAL,0.03558913
categorical__Route_Of_Administration_INTRAVENOUS,0.02593074
categorical__DF;Route_SOLUTION;ORAL,0.020004958
categorical__Dosage_Form_SYRUP,0.019182634
"categorical__DF;Route_INJECTABLE, LIPOSOMAL;INJECTION",0.019097801
categorical__Route_Of_Administration_TOPICAL,0.015395678
categorical__DF;Route_SOLUTION;IRRIGATION,0.013844751
categorical__DF;Route_SYRUP;ORAL,0.012781926
categorical__Ingredient_TADALAFIL,0.010756684
categorical__Ingredient_ACETAMINOPHEN; HYDROCODONE BITARTRATE,0.010365733
categorical__Ingredient_ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,0.010166871
categorical__DF;Route_SOLUTION;INJECTION,0.010136281
categorical__Ingredient_CHOLESTYRAMINE,0.009679286
categorical__DF;Route_FOR SOLUTION;ORAL,0.009567141
categorical__Dosage_Form_SOLUTION/DROPS,0.008315432
categorical__Route_Of_Administration_OPHTHALMIC,0.0080742575
categorical__Route_Of_Administration_OTIC,0.0077888696
categorical__DF;Route_SOLUTION;INTRAPERITONEAL,0.007686609
categorical__Route_Of_Administration_IRRIGATION,0.0074096518
categorical__DF;Route_LIQUID;N/A,0.007361012
categorical__Route_Of_Administration_INHALATION,0.007159927
categorical__Dosage_Form_CONCENTRATE,0.007034941
categorical__Dosage_Form_POWDER,0.006877213
categorical__Ingredient_HYDRALAZINE HYDROCHLORIDE,0.006830424
categorical__Dosage_Form_SOLUTION,0.006739424
"categorical__Route_Of_Administration_ORAL, RECTAL",0.006589103
categorical__Route_Of_Administration_TRANSDERMAL,0.0065449392
categorical__Ingredient_BETAMETHASONE DIPROPIONATE,0.0063455733
categorical__Ingredient_GLYCOPYRROLATE,0.006215612
categorical__Ingredient_BENZTROPINE MESYLATE,0.0059832623
categorical__Ingredient_AMPHETAMINE SULFATE,0.005907965
categorical__Ingredient_CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,0.0057550897
categorical__Ingredient_MECLIZINE HYDROCHLORIDE,0.0057407594
categorical__Ingredient_DEXTROAMPHETAMINE SULFATE,0.005721016
categorical__Ingredient_STERILE WATER FOR INJECTION,0.005618768
"categorical__Route_Of_Administration_INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",0.0056041135
categorical__Ingredient_PHENTERMINE HYDROCHLORIDE,0.005571981
categorical__Ingredient_CARISOPRODOL,0.005566848
categorical__Ingredient_BETHANECHOL CHLORIDE,0.0055472525
categorical__Dosage_Form_FOR SOLUTION,0.0055304375
categorical__Ingredient_BENZONATATE,0.0054012723
categorical__Ingredient_ACETAMINOPHEN; CODEINE PHOSPHATE,0.005395681
categorical__DF;Route_CONCENTRATE;ORAL,0.005385422
categorical__Strength_80MG/ML,0.0052994215
categorical__Ingredient_METHADONE HYDROCHLORIDE,0.0051941564
categorical__Ingredient_ACETAMINOPHEN; BUTALBITAL; CAFFEINE,0.0050795693
categorical__Ingredient_ACYCLOVIR,0.0050465353
categorical__Ingredient_ISOTRETINOIN,0.005016508
categorical__Ingredient_FLUOXETINE HYDROCHLORIDE,0.0050038807
categorical__Route_Of_Administration_INTRAMUSCULAR,0.0049914583
categorical__DF;Route_SOLUTION;TOPICAL,0.004770767
categorical__DF;Route_POWDER;ORAL,0.004748047
categorical__Ingredient_CYCLOSPORINE,0.004678926
categorical__Ingredient_GLYBURIDE,0.0046619093
categorical__Ingredient_METHYLPREDNISOLONE ACETATE,0.0044682473
"categorical__DF;Route_CAPSULE, EXTENDED RELEASE;ORAL",0.0043357974
categorical__DF;Route_POWDER;INTRAVENOUS,0.00433539
categorical__Dosage_Form_SYSTEM,0.0042350483
categorical__Route_Of_Administration_NASAL,0.0042062188
categorical__Ingredient_METHOCARBAMOL,0.0041308706
categorical__DF;Route_SOLUTION;INTRAMUSCULAR,0.004056819
categorical__Ingredient_ISONIAZID,0.003897199
categorical__DF;Route_SYSTEM;TRANSDERMAL,0.003870269
categorical__Ingredient_ACETAMINOPHEN; BUTALBITAL,0.0037943926
categorical__Ingredient_TRIAMCINOLONE ACETONIDE,0.0037118087
categorical__Ingredient_GABAPENTIN,0.003689522
categorical__Ingredient_AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,0.0036787493
