Trade_Name,Ingredient,TE_Code,Alternative_Trade_Name,Alternative_TE_Code,TE_Decision
DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION),DESMOPRESSIN ACETATE,AB,DESMOPRESSIN ACETATE,AB,TE-EQUIVALENT ALTERNATIVE
ALLOPURINOL,ALLOPURINOL,AB,LOPURIN,AB,TE-EQUIVALENT ALTERNATIVE
WARFARIN SODIUM,WARFARIN SODIUM,AB,JANTOVEN,AB,TE-EQUIVALENT ALTERNATIVE
DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL),DOXORUBICIN HYDROCHLORIDE,AB,DOXORUBICIN HYDROCHLORIDE,AB,TE-EQUIVALENT ALTERNATIVE
DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,AB,DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION),AB,TE-EQUIVALENT ALTERNATIVE
METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,AB,UREX,AB,TE-EQUIVALENT ALTERNATIVE
"GRISEOFULVIN, ULTRAMICROSIZE","GRISEOFULVIN, ULTRAMICROSIZE",AB,FULVICIN P/G,AB,TE-EQUIVALENT ALTERNATIVE
DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,AB1,CARTIA XT,AB3,TE-EQUIVALENT ALTERNATIVE
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,"AB1,AB2,AB3,AB4",LEVOLET,"AB1,AB2,AB3,AB4",TE-EQUIVALENT ALTERNATIVE
CLARAVIS,ISOTRETINOIN,AB1,ZENATANE,AB1,TE-EQUIVALENT ALTERNATIVE
TESTOSTERONE,TESTOSTERONE,AB1,VOGELXO,AB2,TE-EQUIVALENT ALTERNATIVE
DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,AB2,CARTIA XT,AB3,TE-EQUIVALENT ALTERNATIVE
NORETHINDRONE,NORETHINDRONE,AB2,INCASSIA,AB1,TE-EQUIVALENT ALTERNATIVE
DICHLORPHENAMIDE,DICHLORPHENAMIDE,AB,ORMALVI,AB,TE-EQUIVALENT ALTERNATIVE
ORMALVI,DICHLORPHENAMIDE,AB,DICHLORPHENAMIDE,AB,TE-EQUIVALENT ALTERNATIVE
DEFLAZACORT,DEFLAZACORT,AB,JAYTHARI,AB,TE-EQUIVALENT ALTERNATIVE
JAYTHARI,DEFLAZACORT,AB,DEFLAZACORT,AB,TE-EQUIVALENT ALTERNATIVE
JANTOVEN,WARFARIN SODIUM,AB,WARFARIN SODIUM,AB,TE-EQUIVALENT ALTERNATIVE
ASHLYNA,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,JAIMIESS,AB,TE-EQUIVALENT ALTERNATIVE
JAIMIESS,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
LEVONORGESTREL AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
LEVONORGESTREL AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
SIMPESSE,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
DAYSEE,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
LOPURIN,ALLOPURINOL,AB,ALLOPURINOL,AB,TE-EQUIVALENT ALTERNATIVE
SORINE,SOTALOL HYDROCHLORIDE,AB,SOTALOL HYDROCHLORIDE,AB,TE-EQUIVALENT ALTERNATIVE
SOTALOL HYDROCHLORIDE,SOTALOL HYDROCHLORIDE,AB,SORINE,AB,TE-EQUIVALENT ALTERNATIVE
"DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM",DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM,AB,TYDEMY,AB,TE-EQUIVALENT ALTERNATIVE
AZASAN,AZATHIOPRINE,AB,AZATHIOPRINE,AB,TE-EQUIVALENT ALTERNATIVE
AZATHIOPRINE,AZATHIOPRINE,AB,AZASAN,AB,TE-EQUIVALENT ALTERNATIVE
PAROXETINE HYDROCHLORIDE,PAROXETINE HYDROCHLORIDE,AB,PAROXETINE,AB,TE-EQUIVALENT ALTERNATIVE
PAROXETINE,PAROXETINE HYDROCHLORIDE,AB,PAROXETINE HYDROCHLORIDE,AB,TE-EQUIVALENT ALTERNATIVE
DROSPIRENONE AND ETHINYL ESTRADIOL,DROSPIRENONE; ETHINYL ESTRADIOL,AB,SYEDA,AB,TE-EQUIVALENT ALTERNATIVE
LARIN 1.5/30,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,AB,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,AB,LARIN 1.5/30,AB,TE-EQUIVALENT ALTERNATIVE
JUNEL 1.5/30,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,AB,LARIN 1.5/30,AB,TE-EQUIVALENT ALTERNATIVE
SYEDA,DROSPIRENONE; ETHINYL ESTRADIOL,AB,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
YAELA,DROSPIRENONE; ETHINYL ESTRADIOL,AB,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
ZUMANDIMINE,DROSPIRENONE; ETHINYL ESTRADIOL,AB,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
HAILEY 1.5/30,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,AB,LARIN 1.5/30,AB,TE-EQUIVALENT ALTERNATIVE
AUROVELA 1.5/30,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,AB,LARIN 1.5/30,AB,TE-EQUIVALENT ALTERNATIVE
FULVICIN P/G,"GRISEOFULVIN, ULTRAMICROSIZE",AB,"GRISEOFULVIN, ULTRAMICROSIZE",AB,TE-EQUIVALENT ALTERNATIVE
"GRISEOFULVIN,ULTRAMICROSIZE","GRISEOFULVIN, ULTRAMICROSIZE",AB,"GRISEOFULVIN, ULTRAMICROSIZE",AB,TE-EQUIVALENT ALTERNATIVE
PRASUGREL,PRASUGREL HYDROCHLORIDE,AB,PRASUGREL HYDROCHLORIDE,AB,TE-EQUIVALENT ALTERNATIVE
PRASUGREL HYDROCHLORIDE,PRASUGREL HYDROCHLORIDE,AB,PRASUGREL,AB,TE-EQUIVALENT ALTERNATIVE
DROSPIRENONE AND ETHINYL ESTRADIOL,DROSPIRENONE; ETHINYL ESTRADIOL,AB,LO-ZUMANDIMINE,AB,TE-EQUIVALENT ALTERNATIVE
LO-ZUMANDIMINE,DROSPIRENONE; ETHINYL ESTRADIOL,AB,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
